pages,publication,dow,week,year,adverts,volume
44,RSW,4,32,2023,9,1142
44,ESW,4,32,2023,12,958
48,NNN,4,33,2023,33,2976
40,ELY,4,33,2023,35,3342
40,SWL,4,33,2023,108,4558
84,IOW,5,33,2023,162,6508
32,BBT,4,33,2023,139,5228
56,WAO,5,33,2023,111,4941
40,BWT,4,33,2023,54,2989
48,CFG,4,33,2023,59,4099
8,BRI BRDSUP0,4,32,2023,14,1295
8,WTM WTMSUPP1,3,33,2023,8,2296
16,WTM WTTV,3,33,2023,1,287
56,BUED,2,32,2023,4,73
48,ESH,5,33,2023,54,3177
56,SOM,4,33,2023,92,4116
40,BOSC,0,31,2023,9,984
12,EDT PROP,4,31,2023,9,1752
8,SWA SASP,6,31,2023,8,991
48,HPT,3,33,2023,84,5780
40,WTI,3,33,2023,96,4310
40,MWH,3,33,2023,117,4427
40,PBL,5,32,2023,41,1435
48,ELC,4,32,2023,71,2886
32,CFT,4,32,2023,54,3438
40,BOR,3,32,2023,37,1725
64,TWN,3,33,2023,55,4051
64,FPP,3,33,2023,57,2949
88,SCG,4,32,2023,115,5359
64,TP,6,33,2023,43,2160
40,TP,5,33,2023,47,2966
40,TP,4,33,2023,47,2149
40,TP,3,33,2023,38,1897
40,TP,2,33,2023,37,1988
40,TP,1,33,2023,36,1992
64,TA,6,33,2023,42,2013
40,TA,5,33,2023,59,2434
40,TA,4,33,2023,61,2544
40,TA,3,33,2023,38,1924
40,TA,2,33,2023,40,2037
40,TA,1,33,2023,37,2079
64,KN,4,33,2023,54,2701
68,IG,4,33,2023,45,2311
64,CH,4,33,2023,54,3194
96,WGZ,4,33,2023,102,7243
40,BRN,3,33,2023,125,5502
24,HAT,4,33,2023,94,4063
48,YLG,4,33,2023,45,3387
48,EFG,4,33,2023,46,3924
32,ENI,3,33,2023,103,6391
24,THG,4,33,2023,88,3766
72,CTI,5,33,2023,87,6283
56,WGG,4,33,2023,51,4253
56,SNJ,3,33,2023,64,4134
56,GAZ,4,33,2023,56,3868
32,RA,3,33,2023,71,4657
40,TS,4,33,2023,90,5454
32,BR,3,33,2023,79,4576
32,LA,4,33,2023,49,2827
80,HT,4,33,2023,196,12621
32,TIV,2,33,2023,37,2644
48,ROM,5,33,2023,112,4714
72,HAM,4,33,2023,130,5976
64,BAG,4,33,2023,127,7605
48,AAD,5,33,2023,117,5405
64,WTM,3,33,2023,44,3431
40,BEXE,3,32,2023,19,1098
48,SXWO,4,32,2023,1,44
32,TIV,2,34,2023,38,3876
48,BBJ,5,33,2023,48,3320
48,DFT,4,33,2023,22,2339
8,ARG AGNS,1,34,2023,1,287
16,TLE TLSP,3,33,2023,9,1159
32,ARG,2,34,2023,27,1878
32,ARG,1,34,2023,28,1670
40,BWTH,4,32,2023,5,385
40,BWTM,4,32,2023,8,580
48,EPED,4,33,2023,9,1178
48,CRS,4,33,2023,95,4828
40,FL,4,33,2023,1,44
8,LEJ LJSP0,4,33,2023,7,1031
4,WGM WRAP,4,31,2023,4,1103
4,SN WRAP,4,31,2023,4,1103
